session_dt,market_val,val,n
"2021-01-01 00:00:00",0.00,0.00,994
"2021-01-07 00:00:00",1.79,0.70,991
"2021-01-14 00:00:00",4.49,8.38,989
"2021-01-21 00:00:00",4.24,10.81,983
"2021-01-28 00:00:00",2.91,12.89,978
"2021-02-04 00:00:00",4.87,14.77,978
"2021-02-11 00:00:00",6.91,18.12,978
"2021-02-18 00:00:00",6.84,19.39,976
"2021-02-25 00:00:00",7.17,15.42,976
"2021-03-04 00:00:00",9.23,23.80,975
"2021-03-11 00:00:00",15.85,25.19,976
"2021-03-18 00:00:00",17.22,25.65,974
"2021-03-25 00:00:00",16.59,26.00,971
"2021-04-01 00:00:00",19.92,25.66,965
"2021-04-08 00:00:00",17.73,25.83,965
"2021-04-15 00:00:00",18.26,25.78,962
"2021-04-22 00:00:00",17.50,23.30,959
"2021-04-29 00:00:00",20.17,18.77,960
"2021-05-06 00:00:00",21.24,20.86,960
"2021-05-13 00:00:00",17.38,17.52,959
"2021-05-20 00:00:00",17.54,12.28,959
"2021-05-27 00:00:00",18.90,9.29,954
"2021-06-03 00:00:00",18.74,12.69,954
"2021-06-10 00:00:00",19.29,13.78,953
"2021-06-17 00:00:00",19.61,14.03,951
"2021-06-24 00:00:00",21.24,12.11,947
"2021-07-01 00:00:00",22.03,11.00,949
"2021-07-08 00:00:00",19.84,9.63,935
"2021-07-15 00:00:00",21.15,12.20,957
"2021-07-22 00:00:00",20.98,12.29,957
"2021-07-29 00:00:00",22.80,13.29,956
"2021-08-05 00:00:00",22.39,14.82,955
"2021-08-12 00:00:00",25.76,13.70,950
"2021-08-19 00:00:00",22.67,12.36,950
"2021-08-26 00:00:00",24.36,13.34,950
"2021-09-02 00:00:00",24.06,16.80,950
"2021-09-09 00:00:00",22.81,17.40,947
"2021-09-10 00:00:00",22.28,17.89,947
