session_dt,market_val,n,val
"2024-01-02 00:00:00",0,884,0
"2024-01-04 00:00:00",-2.12,883,-5.38
"2024-01-11 00:00:00",0.08,884,-2.21
"2024-01-18 00:00:00",0.96,884,-14.76
"2024-01-25 00:00:00",2.1,882,-13.58
"2024-02-01 00:00:00",2.75,882,-17.54
"2024-02-08 00:00:00",3.16,882,-18.65
"2024-02-15 00:00:00",4.29,882,-10.96
"2024-02-22 00:00:00",3.93,882,-10.9
"2024-02-29 00:00:00",4.48,881,-6.48
"2024-03-07 00:00:00",5.74,881,-2.3
"2024-03-14 00:00:00",3.56,880,4.23
"2024-03-21 00:00:00",7.93,881,4.88
"2024-03-28 00:00:00",9.14,880,8.27
"2024-04-04 00:00:00",6,876,-10.06
"2024-04-11 00:00:00",3.98,880,-8.06
"2024-04-12 00:00:00",2.27,880,-8.01
